Country,City,Confirmed,Recovered,Deaths,Latitude,Longtitude,Codes,Continent,Date
China,Guangdong Province,1532,1395,8,24.7443043,113.08144820000001,CHN,Asia,26-04-2020
China,Henan,1276,1252,22,34.0000001,113.9999999,CHN,Asia,26-04-2020
China,Zhejiang,1264,1230,1,29.000000099999998,119.9999999,CHN,Asia,26-04-2020
China,Hunan,1019,1014,4,27.999587800000004,112.00953799999999,CHN,Asia,26-04-2020
China,Anhui,990,984,6,32.0,117.0,CHN,Asia,26-04-2020
China,Jiangxi,937,935,1,28.0,116.0,CHN,Asia,26-04-2020
China,Shandong,780,755,7,36.0000001,118.9999999,CHN,Asia,26-04-2020
China,Jiangsu,651,633,0,33.0000001,119.9999999,CHN,Asia,26-04-2020
China,Beijing,587,443,8,39.906217,116.3912757,CHN,Asia,26-04-2020
China,Chongqing,579,570,6,29.5585712,106.5492822,CHN,Asia,26-04-2020
China,Sichuan,559,540,3,30.500000099999998,102.4999999,CHN,Asia,26-04-2020
China,Shanghai,536,383,6,31.232275800000004,121.4692071,CHN,Asia,26-04-2020
China,Heilongjiang,524,469,13,48.00000470000001,127.99999199999999,CHN,Asia,26-04-2020
China,Fujian,350,305,1,26.5450001,117.84277800000001,CHN,Asia,26-04-2020
China,Hebei,327,310,6,39.0000001,116.0,CHN,Asia,26-04-2020
China,Shaanxi,256,246,3,36.0,109.0,CHN,Asia,26-04-2020
China,Guangxi,254,252,2,24.0,109.0,CHN,Asia,26-04-2020
China,Yunnan,184,172,2,25.0,102.0,CHN,Asia,26-04-2020
China,Tianjin,180,144,3,39.1235635,117.1980785,CHN,Asia,26-04-2020
China,Hainan,168,162,6,19.2000001,109.5999999,CHN,Asia,26-04-2020
China,Guizhou,147,144,2,27.0,107.0,CHN,Asia,26-04-2020
China,Liaoning,142,128,2,40.99751970000001,122.99554690000001,CHN,Asia,26-04-2020
China,Gansu,139,132,2,38.0000001,101.9999999,CHN,Asia,26-04-2020
China,Shanxi,138,133,0,37.0,112.0,CHN,Asia,26-04-2020
China,Inner Mongolia,118,74,1,43.2443242,114.32516640000001,CHN,Asia,26-04-2020
China,Jilin,98,92,1,42.9995032,125.9816054,CHN,Asia,26-04-2020
China,Xinjiang,76,73,3,41.7574769,87.16738423046895,CHN,Asia,26-04-2020
China,Ningxia,75,75,0,37.0000001,105.9999999,CHN,Asia,26-04-2020
China,Qinghai,18,18,0,35.40709525,95.95211573241954,CHN,Asia,26-04-2020
China,Tibet,1,1,0,31.89434315,87.07813712706509,CHN,Asia,26-04-2020
Croatia,City of Zagreb,459,236,16,45.79151065,15.98246722398631,HRV,Europe,26-04-2020
Croatia,Split-Dalmatia County,454,117,14,43.07361015,16.027989049469006,HRV,Europe,26-04-2020
Croatia,Krapina-Zagorje County,130,5,1,46.0983218,15.937740400000001,HRV,Europe,26-04-2020
Croatia,Zagreb County,127,42,0,45.7017634,16.2347136,HRV,Europe,26-04-2020
Croatia,Osijek-Baranja County,113,52,7,45.541111,18.4384615,HRV,Europe,26-04-2020
Croatia,Dubrovnik-Neretva County,105,27,6,42.758084499999995,17.3352326,HRV,Europe,26-04-2020
Croatia,Istria County,90,69,2,45.2098898,13.6822959,HRV,Europe,26-04-2020
Croatia,Primorje-Gorski Kotar County,82,34,1,45.4225937,14.6172032,HRV,Europe,26-04-2020
Croatia,Zadar County,82,31,1,44.223288200000006,15.3739652,HRV,Europe,26-04-2020
